conway,name,bowers,wiki
atO,Rectified truncated octahedron,,https://en.wikipedia.org/wiki/Rectified_truncated_octahedron
ktI,Hexapentakis truncated icosahedron,,https://en.wikipedia.org/wiki/Hexapentakis_truncated_icosahedron
dA7,Heptagonal trapezohedron,,https://en.wikipedia.org/wiki/Heptagonal_trapezohedron
dA12,Dodecagonal trapezohedron,,https://en.wikipedia.org/wiki/Dodecagonal_trapezohedron
t3kT,order-3 truncated triakis tetrahedron,,https://en.wikipedia.org/wiki/Order-3_truncated_triakis_tetrahedron
k6tT,hexakis truncated tetrahedron,,https://en.wikipedia.org/wiki/Hexakis_truncated_tetrahedron
C,cube,,https://en.wikipedia.org/wiki/Cube
k3P3,elongated triangular bipyramid,,https://en.wikipedia.org/wiki/Elongated_triangular_bipyramid
J13,pentagonal bipyramid,,https://en.wikipedia.org/wiki/Pentagonal_bipyramid
dP5,pentagonal bipyramid,,https://en.wikipedia.org/wiki/Pentagonal_bipyramid
k5P5,elongated pentagonal bipyramid,,https://en.wikipedia.org/wiki/Elongated_pentagonal_bipyramid
kD,pentakis dodecahedron,,https://en.wikipedia.org/wiki/Pentakis_dodecahedron
sC,snub cube,,https://en.wikipedia.org/wiki/Snub_cube
sH,snub hexagonal tiling,,https://en.wikipedia.org/wiki/Snub_trihexagonal_tiling
sΔ,snub hexagonal tiling,,https://en.wikipedia.org/wiki/Snub_trihexagonal_tiling
sQ,snub square tiling,,https://en.wikipedia.org/wiki/Snub_square_tiling
dP3,triangular bipyramid,,https://en.wikipedia.org/wiki/Triangular_bipyramid
A2,tetrahedron,,https://en.wikipedia.org/wiki/Tetrahedron
Y3,tetrahedron,,https://en.wikipedia.org/wiki/Tetrahedron
bD,truncated icosidodecahedron,,https://en.wikipedia.org/wiki/Truncated_icosidodecahedron
taD,truncated icosidodecahedron,,https://en.wikipedia.org/wiki/Truncated_icosidodecahedron
kC,tetrakis hexahedron,,https://en.wikipedia.org/wiki/Tetrakis_hexahedron
aaD,rhombicosidodecahedron,,https://en.wikipedia.org/wiki/Rhombicosidodecahedron
eD,rhombicosidodecahedron,,https://en.wikipedia.org/wiki/Rhombicosidodecahedron
tD,truncated dodecahedron,,https://en.wikipedia.org/wiki/Truncated_dodecahedron
sD,snub dodecahedron,,https://en.wikipedia.org/wiki/Snub_dodecahedron
k4A4,gyroelongated square bipyramid,,https://en.wikipedia.org/wiki/Gyroelongated_square_bipyramid
tI,truncated icosahedron,,https://en.wikipedia.org/wiki/Truncated_icosahedron
aD,icosidodecahedron,,https://en.wikipedia.org/wiki/Icosidodecahedron
aC,cuboctahedron,,https://en.wikipedia.org/wiki/Cuboctahedron
aaT,cuboctahedron,,https://en.wikipedia.org/wiki/Cuboctahedron
aaaT,rhombicuboctahedron,,https://en.wikipedia.org/wiki/Rhombicuboctahedron
aaC,rhombicuboctahedron,,https://en.wikipedia.org/wiki/Rhombicuboctahedron
eC,rhombicuboctahedron,,https://en.wikipedia.org/wiki/Rhombicuboctahedron
tT,truncated tetrahedron,,https://en.wikipedia.org/wiki/Truncated_tetrahedron
tC,truncated cube,,https://en.wikipedia.org/wiki/Truncated_cube
bT,truncated octahedron,,https://en.wikipedia.org/wiki/Truncated_octahedron
tO,truncated octahedron,,https://en.wikipedia.org/wiki/Truncated_octahedron
bC,truncated cuboctahedron,,https://en.wikipedia.org/wiki/Truncated_cuboctahedron
taC,truncated cuboctahedron,,https://en.wikipedia.org/wiki/Truncated_cuboctahedron
P5,pentagonal prism,,https://en.wikipedia.org/wiki/Pentagonal_prism
dJ13,pentagonal prism,,https://en.wikipedia.org/wiki/Pentagonal_prism
Y4,square pyramid,,https://en.wikipedia.org/wiki/Square_pyramid
Q,square tiling,,https://en.wikipedia.org/wiki/Square_tiling
jC,rhombic dodecahedron,,https://en.wikipedia.org/wiki/Rhombic_dodecahedron
jD,rhombic triacontahedron,,https://en.wikipedia.org/wiki/Rhombic_triacontahedron
A5,pentagonal antiprism,,https://en.wikipedia.org/wiki/Pentagonal_antiprism
Y5,pentagonal pyramid,,https://en.wikipedia.org/wiki/Pentagonal_pyramid
A4,square antiprism,,https://en.wikipedia.org/wiki/Square_antiprism
deD,deltoidal hexecontahedron,,https://en.wikipedia.org/wiki/Deltoidal_hexecontahedron
oD,deltoidal hexecontahedron,,https://en.wikipedia.org/wiki/Deltoidal_hexecontahedron
deC,deltoidal icositetrahedron,,https://en.wikipedia.org/wiki/Deltoidal_icositetrahedron
oC,deltoidal icositetrahedron,,https://en.wikipedia.org/wiki/Deltoidal_icositetrahedron
P3,triangular prism,,https://en.wikipedia.org/wiki/Triangular_prism
kT,triakis tetrahedron,,https://en.wikipedia.org/wiki/Triakis_tetrahedron
